马来西亚,#genre#
TV1,http://52xinghe.top/smmmt.php?id=TV1&h=52xinghe.top&p=7788
TV1 backup,http://52xinghe.top/smmmt.php?id=TV1_backup&h=52xinghe.top&p=7788
TV2,http://52xinghe.top/smmmt.php?id=TV2&h=52xinghe.top&p=7788
TV3,http://52xinghe.top/smmmt.php?id=TV3&h=52xinghe.top&p=7788
TV3 SD,http://52xinghe.top/smmmt.php?id=TV3_mega&h=52xinghe.top&p=7788
TV3 backup,http://52xinghe.top/smmmt.php?id=TV3_backup&h=52xinghe.top&p=7788
TV3 backup2,http://52xinghe.top/smmmt.php?id=TV3_1&h=52xinghe.top&p=7788
TV5,http://52xinghe.top/smmmt.php?id=TV5&h=52xinghe.top&p=7788
NTV7,http://52xinghe.top/smmmt.php?id=NTV7&h=52xinghe.top&p=7788
8TV,http://52xinghe.top/smmmt.php?id=TV8&h=52xinghe.top&p=7788
TV9,http://52xinghe.top/smmmt.php?id=TV9&h=52xinghe.top&p=7788
Al-Hijrah,http://52xinghe.top/smmmt.php?id=Alhijrah&h=52xinghe.top&p=7788
Quran,http://52xinghe.top/smmmt.php?id=quran_mido&h=52xinghe.top&p=7788
Sunnah,http://52xinghe.top/smmmt.php?id=sunnah_mido&h=52xinghe.top&p=7788
Bernama,http://52xinghe.top/smmmt.php?id=Bernama&h=52xinghe.top&p=7788
Awani,http://52xinghe.top/smmmt.php?id=Awani&h=52xinghe.top&p=7788
Ceria,http://52xinghe.top/smmmt.php?id=Ceria&h=52xinghe.top&p=7788
Oasis,http://52xinghe.top/smmmt.php?id=Oasis&h=52xinghe.top&p=7788
Boo,http://52xinghe.top/smmmt.php?id=Boo&h=52xinghe.top&p=7788
Citra,http://52xinghe.top/smmmt.php?id=AAcitra1&h=52xinghe.top&p=7788
Citra backup,http://52xinghe.top/smmmt.php?id=AAcitra1&h=52xinghe.top&p=7788
Prima,http://52xinghe.top/smmmt.php?id=Prima&h=52xinghe.top&p=7788
Prima backup,http://52xinghe.top/smmmt.php?id=AAprima&h=52xinghe.top&p=7788
Ria,http://52xinghe.top/smmmt.php?id=Ria-0&h=52xinghe.top&p=7788
Ria-3,http://52xinghe.top/smmmt.php?id=Ria_backup&h=52xinghe.top&p=7788
Awesome TV,http://52xinghe.top/smmmt.php?id=Dsangat&h=52xinghe.top&p=7788
Aura,http://52xinghe.top/smmmt.php?id=Aura&h=52xinghe.top&p=7788
Sensasi,http://52xinghe.top/smmmt.php?id=Sensasi&h=52xinghe.top&p=7788
Siar,http://52xinghe.top/smmmt.php?id=Siar&h=52xinghe.top&p=7788
Rania,http://52xinghe.top/smmmt.php?id=Rania&h=52xinghe.top&p=7788
WION,http://52xinghe.top/smmmt.php?id=Wion&h=52xinghe.top&p=7788
Astro MTV,http://52xinghe.top/smmmt.php?id=AstroMTV&h=52xinghe.top&p=7788
Arena,http://52xinghe.top/smmmt.php?id=Arena&h=52xinghe.top&p=7788
Arena 2,http://52xinghe.top/smmmt.php?id=Arena2&h=52xinghe.top&p=7788
Arena Bola 1,http://52xinghe.top/smmmt.php?id=Bolaarena1&h=52xinghe.top&p=7788
Arena Bola 2,http://52xinghe.top/smmmt.php?id=Bolaarena2&h=52xinghe.top&p=7788
NatGeo_Wild HD,http://52xinghe.top/smmmt.php?id=Natgeowild&h=52xinghe.top&p=7788
RTM Sports HD,http://52xinghe.top/smmmt.php?id=Rtmsport&h=52xinghe.top&p=7788
Animal_Planet,http://52xinghe.top/smmmt.php?id=AnimalPlanet&h=52xinghe.top&p=7788
HBO Family,http://52xinghe.top/smmmt.php?id=Hbofamily&h=52xinghe.top&p=7788
Showcase,http://52xinghe.top/smmmt.php?id=Showcase&h=52xinghe.top&p=7788
RTM Asean,http://52xinghe.top/smmmt.php?id=Rtmasean&h=52xinghe.top&p=7788
HGTV,http://52xinghe.top/smmmt.php?id=HGTV&h=52xinghe.top&p=7788
Astro Badminton,http://52xinghe.top/smmmt.php?id=go_badminton1&h=52xinghe.top&p=7788
Astro Badminton 2,http://52xinghe.top/smmmt.php?id=go_badminton2&h=52xinghe.top&p=7788
TLC,http://52xinghe.top/smmmt.php?id=Tlc&h=52xinghe.top&p=7788
Foodnetwork Hd,http://52xinghe.top/smmmt.php?id=Foodnetwork&h=52xinghe.top&p=7788
Axn HD,http://52xinghe.top/smmmt.php?id=Axn&h=52xinghe.top&p=7788
HBO HD,http://52xinghe.top/smmmt.php?id=Hbo&h=52xinghe.top&p=7788
HBO Signature,http://52xinghe.top/smmmt.php?id=Hbosignature&h=52xinghe.top&p=7788
HBO Hits,http://52xinghe.top/smmmt.php?id=Hbohitshd&h=52xinghe.top&p=7788
Dreamworks,http://52xinghe.top/smmmt.php?id=Dreamworks&h=52xinghe.top&p=7788
Nickelodeon,http://52xinghe.top/smmmt.php?id=Nickelodeon&h=52xinghe.top&p=7788
Nick Jr,http://52xinghe.top/smmmt.php?id=Nickjr&h=52xinghe.top&p=7788
Cartoon Network,http://52xinghe.top/smmmt.php?id=Cn&h=52xinghe.top&p=7788
Asia Food Network,http://52xinghe.top/smmmt.php?id=Afc&h=52xinghe.top&p=7788
Animal Planet (Eng),http://52xinghe.top/smmmt.php?id=AnimalPlanet&h=52xinghe.top&p=7788
NatGeo Wild HD,http://52xinghe.top/smmmt.php?id=Natgeowild&h=52xinghe.top&p=7788
TvN,http://52xinghe.top/smmmt.php?id=TVN&h=52xinghe.top&p=7788
KBS World,http://52xinghe.top/smmmt.php?id=KBS&h=52xinghe.top&p=7788
Sony HD,http://52xinghe.top/smmmt.php?id=SetOne&h=52xinghe.top&p=7788
tvN Movie,http://52xinghe.top/smmmt.php?id=Tvnmovie&h=52xinghe.top&p=7788
Astrol Kplus,http://52xinghe.top/smmmt.php?id=Kplus&h=52xinghe.top&p=7788
One,http://52xinghe.top/smmmt.php?id=One&h=52xinghe.top&p=7788
AEC,http://52xinghe.top/smmmt.php?id=AEC&h=52xinghe.top&p=7788
AOD,http://52xinghe.top/smmmt.php?id=Aodhd&h=52xinghe.top&p=7788
华丽台 HD (Wah Lai Toi),http://52xinghe.top/smmmt.php?id=Wlt&h=52xinghe.top&p=7788
欢喜台 HD(Hua Hee Tai),http://52xinghe.top/smmmt.php?id=Huahee&h=52xinghe.top&p=7788
Astro QJ,http://52xinghe.top/smmmt.php?id=Quanjia&h=52xinghe.top&p=7788
TVB Jade,http://52xinghe.top/smmmt.php?id=Tvbjade&h=52xinghe.top&p=7788
爱奇艺 iQiyi,http://52xinghe.top/smmmt.php?id=Qiyi&h=52xinghe.top&p=7788
TVB 星河台  Xing He,http://52xinghe.top/smmmt.php?id=Xinhe&h=52xinghe.top&p=7788
Discovery Asia,http://52xinghe.top/smmmt.php?id=Discoveryasia&h=52xinghe.top&p=7788
Dmax,http://52xinghe.top/smmmt.php?id=Dmax&h=52xinghe.top&p=7788
TVB Asia,http://52xinghe.top/smmmt.php?id=Tvbasia&h=52xinghe.top&p=7788
TVB Entertainment,http://52xinghe.top/smmmt.php?id=Tvbentertainment&h=52xinghe.top&p=7788
TVB Classic,http://52xinghe.top/smmmt.php?id=Tvbclassic&h=52xinghe.top&p=7788
Celestial Classic,http://52xinghe.top/smmmt.php?id=Celestial2&h=52xinghe.top&p=7788
Celestial Movies HD,http://52xinghe.top/smmmt.php?id=Celestial&h=52xinghe.top&p=7788
Rock Actions,http://52xinghe.top/smmmt.php?id=Rockaction&h=52xinghe.top&p=7788
Rock Entertainment,http://52xinghe.top/smmmt.php?id=Rockentertain&h=52xinghe.top&p=7788
Bollyone,http://52xinghe.top/smmmt.php?id=Bollyone&h=52xinghe.top&p=7788
Astro Sunmusic,http://52xinghe.top/smmmt.php?id=Sunmusic&h=52xinghe.top&p=7788
Thangathirai,http://52xinghe.top/smmmt.php?id=Thangathirai&h=52xinghe.top&p=7788
Vinmeen,http://52xinghe.top/smmmt.php?id=Vinmeen&h=52xinghe.top&p=7788
Vellithirai,http://52xinghe.top/smmmt.php?id=Vellithirai&h=52xinghe.top&p=7788
Astro LOL,http://52xinghe.top/smmmt.php?id=Astro_lol&h=52xinghe.top&p=7788
Al_Jazeera,http://52xinghe.top/smmmt.php?id=Aljazeera&h=52xinghe.top&p=7788
CNN,http://52xinghe.top/smmmt.php?id=Cnn&h=52xinghe.top&p=7788
CNN backup,http://52xinghe.top/smmmt.php?id=cnn_twn&h=52xinghe.top&p=7788
BBC World News,http://52xinghe.top/smmmt.php?id=Bbcnews&h=52xinghe.top&p=7788
CNBC,http://52xinghe.top/smmmt.php?id=Cnbc&h=52xinghe.top&p=7788
Bloomberg TV,http://52xinghe.top/smmmt.php?id=Bloomberg&h=52xinghe.top&p=7788
CNA,http://52xinghe.top/smmmt.php?id=cna&h=52xinghe.top&p=7788
DW,http://52xinghe.top/smmmt.php?id=Dw&h=52xinghe.top&p=7788
France 24,http://52xinghe.top/smmmt.php?id=France24&h=52xinghe.top&p=7788
Eurosport,http://52xinghe.top/smmmt.php?id=Eurosport&h=52xinghe.top&p=7788
Skynews,http://52xinghe.top/smmmt.php?id=Skynews&h=52xinghe.top&p=7788
NHK Premium,http://52xinghe.top/smmmt.php?id=NHKpremium&h=52xinghe.top&p=7788
香港,#genre#
翡翠台,http://52xinghe.top/smmmt.php?id=jade_twn&h=52xinghe.top&p=7788
翡翠台 (Back up 1),http://52xinghe.top/smmmt.php?id=jade_xue&h=52xinghe.top&p=7788
iNews 互動新聞台,http://52xinghe.top/smmmt.php?id=inews_twn&h=52xinghe.top&p=7788
J 2,http://52xinghe.top/smmmt.php?id=j2_twn&h=52xinghe.top&p=7788
珍珠台,http://52xinghe.top/smmmt.php?id=pearl_twn&h=52xinghe.top&p=7788
凤凰香港,http://52xinghe.top/smmmt.php?id=hkphoenix_twn&h=52xinghe.top&p=7788
无线财经资讯台,http://52xinghe.top/smmmt.php?id=hoycaijing_twn&h=52xinghe.top&p=7788
RHK 31,http://52xinghe.top/smmmt.php?id=rhk31_twn&h=52xinghe.top&p=7788
VIUTV1,http://52xinghe.top/smmmt.php?id=viu1_twn&h=52xinghe.top&p=7788
RHK 32,http://52xinghe.top/smmmt.php?id=rhk32_twn&h=52xinghe.top&p=7788
TVB Asia,http://52xinghe.top/smmmt.php?id=Tvbasia&h=52xinghe.top&p=7788
凤凰卫视,http://52xinghe.top/smmmt.php?id=phoenixtv_hd&h=52xinghe.top&p=7788
鳳凰資訊,http://52xinghe.top/smmmt.php?id=phoenixinfo_hd&h=52xinghe.top&p=7788
TVB Entertainment,http://52xinghe.top/smmmt.php?id=Tvbentertainment&h=52xinghe.top&p=7788
TVB Classic,http://52xinghe.top/smmmt.php?id=Tvbclassic&h=52xinghe.top&p=7788
Viu6,http://52xinghe.top/smmmt.php?id=viusix_twn&h=52xinghe.top&p=7788
体育频道,#genre#
Astro PL 1,http://52xinghe.top/smmmt.php?id=Assp1&h=52xinghe.top&p=7788
Astro PL 1 (Back Up 1),http://52xinghe.top/smmmt.php?id=go_assp1&h=52xinghe.top&p=7788
Astro PL 1 (Back Up 2),http://52xinghe.top/smmmt.php?id=go_assp1x&h=52xinghe.top&p=7788
Astro W-Sports,http://52xinghe.top/smmmt.php?id=go_assp5&h=52xinghe.top&p=7788
Astro PL 2,http://52xinghe.top/smmmt.php?id=go_assp2&h=52xinghe.top&p=7788
WWE,http://52xinghe.top/smmmt.php?id=Wwe&h=52xinghe.top&p=7788
博斯高球2 HD,http://52xinghe.top/smmmt.php?id=bosigolf2_twn&h=52xinghe.top&p=7788
博斯网球 HD,http://52xinghe.top/smmmt.php?id=bositennis_twn&h=52xinghe.top&p=7788
Fight Sports,http://52xinghe.top/smmmt.php?id=Fs&h=52xinghe.top&p=7788
NBA TV,http://52xinghe.top/smmmt.php?id=Nba&h=52xinghe.top&p=7788
Arena,http://52xinghe.top/smmmt.php?id=Arena&h=52xinghe.top&p=7788
Arena 2,http://52xinghe.top/smmmt.php?id=Arena2&h=52xinghe.top&p=7788
Arena Bola 1,http://52xinghe.top/smmmt.php?id=Bolaarena1&h=52xinghe.top&p=7788
Arena Bola 2,http://52xinghe.top/smmmt.php?id=Bolaarena2&h=52xinghe.top&p=7788
Astro Golf,http://52xinghe.top/smmmt.php?id=Agolf&h=52xinghe.top&p=7788
RTM Sports HD,http://52xinghe.top/smmmt.php?id=Rtmsport&h=52xinghe.top&p=7788
Astro Football,http://52xinghe.top/smmmt.php?id=go_assp4&h=52xinghe.top&p=7788
Astro Football (Back Up 1),http://52xinghe.top/smmmt.php?id=Assp4&h=52xinghe.top&p=7788
Astro Badminton,http://52xinghe.top/smmmt.php?id=go_badminton1&h=52xinghe.top&p=7788
Astro Badminton 2,http://52xinghe.top/smmmt.php?id=go_badminton2&h=52xinghe.top&p=7788
SPOTV 1 HD,http://52xinghe.top/smmmt.php?id=go_spotv&h=52xinghe.top&p=7788
SPO TV 2,http://52xinghe.top/smmmt.php?id=go_spotv2&h=52xinghe.top&p=7788
CCTV-5 體育,http://52xinghe.top/smmmt.php?id=cctv5&h=52xinghe.top&p=7788
